Date,CPI
2021-01,101.04
2021-02,101.58
2021-03,101.84
2021-04,101.98
2021-05,102.05
2021-06,102.05
2021-07,102.26
2021-08,102.75
2021-09,103.17
2021-10,103.35
2021-11,103.87
2021-12,104.04
